Rank,Player,DOB,Player ID,goodWinSum,goodLossSum,badLossSum,totalMatches,totalWins,winPct,winScalar
79,"ARNALDI, Matteo",22 Feb 2001,100256114,28.0,0.0,247.0,19.0,13.0,0.6842105263157895,0.35443037974683544
80,"SCHLAGETER, Justin",09 Mar 2001,100228638,66.0,0.0,5.0,13.0,8.0,0.6153846153846154,0.825
81,"TORTORA, Davide",22 Sep 2000,100233990,49.0,37.0,1352.0,7.0,2.0,0.2857142857142857,0.8333333333333334
82,"PALOSI, Stefan",28 Jan 2000,100206318,118.0,38.0,34.0,6.0,2.0,0.3333333333333333,1.670731707317073
83,"WENDELKEN, Harry",18 Dec 2001,100249038,129.0,123.0,473.0,12.0,6.0,0.5,2.2951807228915664
84,"SPIZZIRRI, Eliot",23 Dec 2001,100305900,0.0,0.0,1549.0,12.0,7.0,0.5833333333333334,0.0
85,"CRETU, Cezar",24 Apr 2001,100235180,68.0,110.0,39.0,20.0,15.0,0.75,1.4470588235294117
86,"SHUMEIKO, Pavel",11 Oct 2000,100206019,0.0,0.0,373.0,4.0,1.0,0.25,0.0
87,"SQUIRE, Henri",27 Sep 2000,100212846,0.0,247.0,42.0,13.0,6.0,0.46153846153846156,1.4195402298850575
88,"SENGUL, Bora",30 Oct 2001,100219567,0.0,36.0,352.0,21.0,14.0,0.6666666666666666,0.20454545454545456
89,"GIMENEZ, Igor",20 Feb 2000,100262530,12.0,81.0,1249.0,14.0,7.0,0.5,0.5898876404494382
90,"BANTHIA, Siddhant",04 Aug 2000,100260749,0.0,10.0,1389.0,8.0,3.0,0.375,0.05555555555555555
91,"WOODALL, William",14 Feb 2000,100238803,,,,,,,
92,"HAN, Seon Yong",18 Jan 2001,100263128,0.0,0.0,91.0,4.0,2.0,0.5,0.0
93,"GREVELIUS, Erik",24 Jun 2000,100200121,20.0,0.0,1182.0,9.0,4.0,0.4444444444444444,0.21505376344086022
94,"KODAT, Toby Alex",13 Jan 2003,100253527,48.0,0.0,146.0,12.0,8.0,0.6666666666666666,0.5106382978723404
95,"JEONG, Yeongseok",04 Mar 2000,100263129,0.0,0.0,136.0,2.0,1.0,0.5,0.0
96,"FERREIRA, Joao",25 Jan 2001,100312315,0.0,19.0,1665.0,10.0,3.0,0.3,0.09895833333333333
97,"DROGUET, Titouan",15 Jun 2001,100225211,353.0,51.0,0.0,17.0,13.0,0.7647058823529411,3.902061855670103
98,"ERHARD, Mathys",26 Oct 2001,100248354,0.0,96.0,540.0,8.0,3.0,0.375,0.4897959183673469
99,"SCHOOLKATE, Tristan",26 Feb 2001,100259233,0.0,0.0,296.0,17.0,14.0,0.8235294117647058,0.0
100,"KOLASINSKI, Filip",04 Dec 2000,100214659,110.0,0.0,295.0,24.0,16.0,0.6666666666666666,1.1
101,"NEFVE, Axel",22 Jul 2000,100265965,19.0,0.0,22.0,4.0,2.0,0.5,0.18811881188118812
102,"PASSARO, Francesco",07 Jan 2001,100231513,61.0,167.0,91.0,15.0,9.0,0.6,1.4166666666666667
103,"RODRIGUEZ, Sebastian",13 Nov 2001,100310228,92.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.8932038834951457
104,"MARMOUSEZ, Lilian",03 Jan 2002,100256036,0.0,25.0,190.0,8.0,6.0,0.75,0.1201923076923077
105,"LOFFHAGEN, George",19 Apr 2001,100232017,72.0,178.0,0.0,3.0,1.0,0.3333333333333333,1.5333333333333334
106,"RIQUELME COPPARI, Agustin",16 Jan 2000,100293194,,,,,,,
107,"MO, Yecong",26 Jun 2000,100295070,0.0,0.0,44.0,6.0,4.0,0.6666666666666666,0.0
108,"KHAN, Zane",11 Feb 2002,100302783,0.0,100.0,0.0,8.0,7.0,0.875,0.46296296296296297
109,"CALDES, Jaime",22 Feb 2001,100262800,79.0,0.0,215.0,15.0,13.0,0.8666666666666667,0.7247706422018348
110,"STORY, James",05 Mar 2001,100256154,166.0,0.0,979.0,12.0,6.0,0.5,1.509090909090909
111,"VANSHELBOIM, Eric",15 Jul 2001,100209981,0.0,0.0,646.0,30.0,23.0,0.7666666666666667,0.0
112,"SWEENY, Dane",12 Feb 2001,100236260,0.0,13.0,219.0,10.0,7.0,0.7,0.05803571428571429
113,"RODESCH, Chris",18 Jul 2001,100212990,0.0,82.0,332.0,23.0,18.0,0.782608695652174,0.36283185840707965
114,"PATEL, Megh Bhargav",20 Feb 2000,100278724,0.0,0.0,1044.0,16.0,12.0,0.75,0.0
115,"MORONI, Filippo",01 Feb 2001,100207444,15.0,140.0,662.0,10.0,3.0,0.3,0.7391304347826086
116,"ANDALORO , Fabrizio",31 Jan 2001,100207889,204.0,31.0,149.0,17.0,9.0,0.5294117647058824,1.8922413793103448
117,"GLINKA, Daniil",12 May 2000,100203909,49.0,97.0,277.0,14.0,5.0,0.35714285714285715,0.8333333333333334
118,"PUCINELLI DE ALMEIDA, Matheus",01 Apr 2001,100248937,,,,,,,
119,"MALAN, Pierre",27 Feb 2001,100247687,0.0,0.0,875.0,31.0,26.0,0.8387096774193549,0.0
120,"PARK, Minjong",22 Oct 2001,100279287,76.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.6333333333333333
121,"PANTINO, Arthur Craig",18 Apr 2001,100279540,0.0,36.0,438.0,16.0,10.0,0.625,0.1487603305785124
122,"SANCHEZ JOVER, Carlos",21 Jul 2000,100239401,109.0,107.0,0.0,3.0,2.0,0.6666666666666666,1.3319672131147542
123,"ALCARAZ GARFIA, Carlos",05 May 2003,100274672,102.0,0.0,0.0,10.0,9.0,0.9,0.8292682926829268
124,"NG, Ki Lung",01 Aug 2001,100241081,39.0,35.0,1413.0,13.0,7.0,0.5384615384615384,0.45564516129032256
125,"SHARRMA, Sacchitt",16 Jan 2001,100283592,15.0,74.0,121.0,10.0,7.0,0.7,0.416
126,"KRUTYKH, Oleksii",10 Mar 2000,100193019,97.0,73.0,56.0,8.0,5.0,0.625,1.0595238095238095
127,"LERBY, Christian",07 Nov 2001,100259126,0.0,62.0,288.0,28.0,23.0,0.8214285714285714,0.2440944881889764
128,"SINGH, Vikash",27 Aug 2000,100278792,0.0,71.0,0.0,3.0,1.0,0.3333333333333333,0.27734375
129,"JACHUCK, Ronan",08 Oct 2001,100291606,85.0,42.0,132.0,13.0,7.0,0.5384615384615384,0.8217054263565892
130,"CRONJE, Lleyton",22 Sep 2000,100205107,0.0,0.0,34.0,3.0,,,0.0
131,"NOSKIN, Egor",09 May 2000,100203126,,,,,,,
132,"ANSELMO, Baptiste",14 Jun 2001,100245915,0.0,0.0,236.0,9.0,5.0,0.5555555555555556,0.0
133,"TACCHI, Luciano",26 Apr 2001,100313465,,,,,,,
134,"TSAI, Chang-Lin",13 Mar 2001,100301913,0.0,0.0,40.0,18.0,16.0,0.8888888888888888,0.0
135,"KRUMICH, Martin",26 Dec 2002,100259221,81.0,0.0,340.0,26.0,20.0,0.7692307692307693,0.6
136,"LYEONS, Jaycer",16 Nov 2000,100293788,0.0,0.0,0.0,1.0,,,0.0
137,"THOMSON, Connor",16 Jan 2001,100259938,0.0,168.0,99.0,4.0,,,0.6131386861313869
138,"IONEL, Nicholas David",12 Oct 2002,100245686,166.0,0.0,227.0,14.0,9.0,0.6428571428571429,1.2028985507246377
139,"STORCH, Stefan",27 Oct 2001,100298973,0.0,84.0,433.0,28.0,19.0,0.6785714285714286,0.302158273381295
140,"SUKSUMRARN, Thantub",18 May 2001,100303379,0.0,0.0,237.0,18.0,15.0,0.8333333333333334,0.0
141,"VON DER SCHULENBURG, Jeffrey",13 Feb 2002,100249672,72.0,47.0,59.0,13.0,9.0,0.6923076923076923,0.6773049645390071
142,"MIKULA, Michal",04 Mar 2000,100280358,96.0,19.0,714.0,7.0,2.0,0.2857142857142857,0.7429577464788732
143,"VOISIN, Emilien",17 Apr 2000,100198047,,,,,,,
144,"GIMA, Sebastian",17 May 2002,100236558,0.0,0.0,809.0,35.0,30.0,0.8571428571428571,0.0
145,"NARDI , Luca",06 Aug 2003,100276778,128.0,0.0,121.0,8.0,7.0,0.875,0.8827586206896552
146,"DONG, Chen",20 Nov 2002,100326681,0.0,0.0,370.0,10.0,7.0,0.7,0.0
147,"GRANT, William",13 Feb 2001,100233991,0.0,72.0,38.0,9.0,3.0,0.3333333333333333,0.24489795918367346
148,"BOUQUIER , Arthur",25 Dec 2000,100219957,0.0,0.0,304.0,5.0,4.0,0.8,0.0
149,"MONTSI, Khololwam",20 Nov 2002,100247694,68.0,0.0,168.0,22.0,17.0,0.7727272727272727,0.4563758389261745
150,"DESCHAMPS, Allan",17 Aug 2001,100227916,0.0,48.0,2062.0,24.0,18.0,0.75,0.16
151,"MORGAN, Charl",26 Jul 2001,100247695,118.0,0.0,1860.0,30.0,22.0,0.7333333333333333,0.7814569536423841
152,"MITSUI, Shunsuke",20 May 2002,100311463,0.0,27.0,2186.0,11.0,8.0,0.7272727272727273,0.08881578947368421
153,"RIHANE, Youcef",21 Jun 2001,100282661,0.0,104.0,0.0,8.0,5.0,0.625,0.33986928104575165
154,"SPASIBO, Danil",19 Jun 2001,100239714,88.0,0.0,425.0,11.0,6.0,0.5454545454545454,0.5714285714285714
155,"BLEKHER, Gleb",29 Dec 2000,100271712,11.0,104.0,51.0,14.0,10.0,0.7142857142857143,0.4064516129032258
156,"KLOPPER, Joubert",01 Aug 2001,100235130,79.0,190.0,0.0,26.0,22.0,0.8461538461538461,1.1153846153846154
157,"SHAH, Mann",03 May 2001,100278772,114.0,19.0,129.0,21.0,18.0,0.8571428571428571,0.7866242038216561
158,"BAADI, Taha",19 Jul 2001,100260371,43.0,0.0,53.0,7.0,5.0,0.7142857142857143,0.2721518987341772
159,"KACHMAZOV, Alibek",17 Aug 2002,100236282,,,,,,,
160,"MOCHIZUKI, Shintaro",02 Jun 2003,100330690,99.0,3.0,269.0,7.0,3.0,0.42857142857142855,0.628125
161,"TORSKI, Osman",24 Jul 2001,100209204,0.0,106.0,222.0,24.0,16.0,0.6666666666666666,0.32919254658385094
162,"PAULSON, Andrew",16 Nov 2001,100227059,0.0,0.0,179.0,12.0,7.0,0.5833333333333334,0.0
163,"CAVRAK, Ken",27 Jan 2001,100277034,64.0,0.0,153.0,17.0,14.0,0.8235294117647058,0.39263803680981596
164,"DAMBROSI, Giacomo",20 Aug 2001,100257124,51.0,35.0,0.0,5.0,3.0,0.6,0.4176829268292683
165,"BAKER, Blu",28 Aug 2001,100285566,280.0,0.0,601.0,16.0,9.0,0.5625,1.696969696969697
166,"MATSUSHITA, Ryoma",14 Jun 2001,100279062,54.0,91.0,1014.0,29.0,24.0,0.8275862068965517,0.5993975903614458
167,"COULIBALY, Eliakim",05 May 2002,100331635,0.0,116.0,0.0,15.0,12.0,0.8,0.3473053892215569
168,"SENDOGAN, Emir",01 Nov 2001,100231425,34.0,1.0,213.0,16.0,11.0,0.6875,0.20535714285714285
169,"LA VELA, Giuseppe",16 Oct 2000,100202835,0.0,225.0,57.0,6.0,2.0,0.3333333333333333,0.665680473372781
170,"ZHUKAYEV, Beibit",12 Oct 2000,100253871,0.0,0.0,1248.0,8.0,5.0,0.625,0.0
171,"BICKNELL, Blaise",26 Nov 2001,100298294,0.0,193.0,5.0,14.0,9.0,0.6428571428571429,0.564327485380117
172,"ARNABOLDI, Federico",18 Jun 2000,100202773,,,,,,,
173,"VOROS, Mate",06 Mar 2000,100232030,57.0,63.0,337.0,16.0,8.0,0.5,0.5115606936416185
174,"SINGH, Digvijay Pratap",02 Jun 2000,100288227,40.0,0.0,0.0,6.0,4.0,0.6666666666666666,0.22988505747126436
175,"SAMREJ, Kasidit",26 Jan 2001,100279487,35.0,0.0,689.0,15.0,11.0,0.7333333333333333,0.2
176,"CHIN, Christian Didier",23 Aug 2000,100277193,5.0,0.0,959.0,15.0,7.0,0.4666666666666667,0.028409090909090908
177,"SAADI, Ismail",26 Jan 2001,100225374,106.0,128.0,0.0,8.0,5.0,0.625,0.96045197740113
178,"ZGIROVSKY, Alexander",10 Jul 2001,100209450,86.0,0.0,0.0,2.0,1.0,0.5,0.48314606741573035
179,"AGAFONOV, Egor",05 Sep 2002,100248927,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.0
180,"ATMANE, Terence",09 Jan 2002,100245657,11.0,259.0,578.0,11.0,4.0,0.36363636363636365,0.7805555555555556
181,"SCHMID, Aaron",17 Sep 2000,100238785,,,,,,,
182,"HORVAT, Roko",30 Mar 2001,100250751,164.0,0.0,33.0,18.0,13.0,0.7222222222222222,0.9010989010989011
183,"ZHAO , Zhao",01 Mar 2000,100294094,0.0,0.0,699.0,9.0,6.0,0.6666666666666666,0.0
184,"LALAMI LAAROUSSI, Younes",18 Apr 2001,100211598,0.0,194.0,1270.0,9.0,3.0,0.3333333333333333,0.5271739130434783
185,"WATANABE, Seita",25 Dec 2000,100295935,0.0,0.0,0.0,2.0,1.0,0.5,0.0
186,"OZOLINS , Karlis",15 Jun 2002,100236393,0.0,155.0,912.0,10.0,5.0,0.5,0.4166666666666667
187,"SISAM, Macsen",31 May 2000,100234290,,,,,,,
188,"WELCH, Sebastian",06 Jan 2000,100301326,0.0,0.0,527.0,4.0,1.0,0.25,0.0
189,"PALAN, Dominik",30 Sep 2000,100204526,0.0,0.0,452.0,6.0,4.0,0.6666666666666666,0.0
190,"MRSIC, Luka",02 Dec 2000,100207887,17.0,129.0,148.0,10.0,7.0,0.7,0.42894736842105263
191,"HOLIS, Evzen",16 Feb 2000,100178498,0.0,0.0,0.0,7.0,3.0,0.42857142857142855,0.0
192,"HERSEY, Jake",21 May 2000,100222945,180.0,1.0,0.0,4.0,1.0,0.25,0.9401041666666666
193,"CHAHOUD, Kevin",08 Oct 2001,100283155,211.0,118.0,302.0,16.0,10.0,0.625,1.3989637305699483
194,"ILKEL, Berk",28 Jul 2001,100232217,26.0,39.0,1331.0,13.0,6.0,0.46153846153846156,0.2345360824742268
195,"BARREIROS REYES, Mateo",14 Dec 2000,100312800,0.0,0.0,0.0,1.0,,,0.0
196,"MAGGIOLI, Emiliano",30 Apr 2001,100228891,319.0,783.0,0.0,19.0,12.0,0.631578947368421,3.625
197,"HUANG, Chih Chi",14 Nov 2000,100252061,,,,,,,
198,"MAGADAN, Alan",26 May 2001,100369852,0.0,0.0,613.0,24.0,18.0,0.75,0.0
199,"CENGIZ, Baran",23 May 2001,100213559,138.0,128.0,330.0,12.0,7.0,0.5833333333333334,1.015075376884422
200,"DANILCHENKO, Ilarion",30 Aug 2001,100317329,0.0,0.0,676.0,13.0,8.0,0.6153846153846154,0.0
201,"COLAS SANCHEZ, Alberto",19 May 2000,100235492,,,,,,,
202,"DESCARREGA, Tomas",27 Sep 2000,100314150,,,,,,,
203,"LEE, Alexander",12 Jan 2002,100327558,0.0,0.0,651.0,5.0,1.0,0.2,0.0
204,"STEINEGGER, Yannik",11 Sep 2000,100228649,0.0,0.0,0.0,4.0,2.0,0.5,0.0
205,"VEDRI ASENSI, Alejandro",17 May 2000,100240487,,,,,,,
206,"TACZALA, Dawid",30 Jan 2002,100252405,45.0,143.0,974.0,12.0,7.0,0.5833333333333334,0.5655339805825242
207,"SEPULVEDA GARZA, Marcelo",22 Sep 2000,100264961,0.0,0.0,0.0,0.0,,,0.0
208,"GIMENO VALERO , Carlos",25 Jun 2001,100239859,282.0,157.0,0.0,12.0,10.0,0.8333333333333334,1.7331730769230769
209,"WISKANDT, Max",01 Feb 2002,100258634,82.0,0.0,1306.0,19.0,11.0,0.5789473684210527,0.3923444976076555
210,"MARCH, Antonio Cayetano",03 Jul 2000,100289695,56.0,21.0,0.0,4.0,2.0,0.5,0.31666666666666665
211,"VALLABHANENI, Niroop",28 May 2002,100308420,133.0,0.0,289.0,16.0,13.0,0.8125,0.6303317535545023
212,"GOMEZ, Mateo",29 Apr 2002,100333959,0.0,0.0,120.0,8.0,7.0,0.875,0.0
213,"BREYSACH , Martin",30 Jan 2002,100269204,0.0,0.0,278.0,20.0,15.0,0.75,0.0
214,"VYLEGZHANIN, Nikolay",18 Apr 2000,100177106,,,,,,,
215,"EMESZ, Benedikt",05 Dec 2001,100228965,132.0,357.0,1238.0,26.0,18.0,0.6923076923076923,1.4441860465116279
216,"SPEZIALI , Filippo",24 Apr 2000,100198015,,,,,,,
217,"MACHAC, Tomas",13 Oct 2000,100197664,,,,,,,
218,"PEREZ, Brandon",14 Jan 2000,100272962,0.0,0.0,63.0,2.0,,,0.0
219,"GAPONENKO, Alexander",01 Jun 2002,100272855,0.0,0.0,928.0,10.0,3.0,0.3,0.0
220,"KABURA, Abdoul Shakur",22 Jan 2001,100293161,0.0,0.0,0.0,13.0,12.0,0.9230769230769231,0.0
221,"NOVIKOV, Egor",12 Sep 2001,100248403,0.0,0.0,171.0,13.0,10.0,0.7692307692307693,0.0
222,"COBOLLI, Flavio",06 May 2002,100254431,200.0,194.0,88.0,12.0,8.0,0.6666666666666666,1.337837837837838
223,"ANGELE, Jaimee Floyd",27 Mar 2000,100224914,173.0,0.0,0.0,2.0,1.0,0.5,0.7757847533632287
224,"SHIRAISHI, Hikaru",22 May 2000,100262589,0.0,140.0,0.0,1.0,,,0.3125
225,"SHEYNGEZIKHT, Leonid",04 Nov 2000,100202282,,,,,,,
226,"DALE, Andrew",01 Nov 2001,100316578,75.0,0.0,773.0,4.0,1.0,0.25,0.33185840707964603
227,"PEL, Stijn",24 Apr 2002,100263042,158.0,104.0,1739.0,16.0,11.0,0.6875,0.9251101321585903
228,"LANZ, Mischa",31 May 2000,100202784,52.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.22807017543859648
229,"POPOVIC, Mihailo",11 Feb 2001,100208362,447.0,462.0,0.0,20.0,14.0,0.7,2.960698689956332
230,"YOSHIMURA, Daiki",07 Mar 2002,100257736,54.0,233.0,0.0,9.0,5.0,0.5555555555555556,0.741304347826087
231,"IKEDA, Tomoya",30 May 2001,100286889,256.0,207.0,552.0,13.0,9.0,0.6923076923076923,1.5562770562770563
232,"DRAXL , Liam",05 Dec 2001,100259937,295.0,0.0,0.0,5.0,3.0,0.6,1.271551724137931
233,"PAWLAK, Piotr",12 Jan 2002,100254246,39.0,171.0,416.0,14.0,9.0,0.6428571428571429,0.5343347639484979
234,"DUDEK, Tomasz",13 Jan 2000,100227073,0.0,57.0,177.0,7.0,2.0,0.2857142857142857,0.12179487179487179
235,"CUETO RAMOS, Javier",20 Apr 2001,100245903,380.0,156.0,1383.0,30.0,24.0,0.8,1.9489361702127659
236,"DICA , Nini Gabriel",29 Apr 2001,100214225,99.0,158.0,25.0,9.0,3.0,0.3333333333333333,0.7542372881355932
