Rank,Player,Movement,Nation,DOB,Event,Points,Player ID,Last Name,First Name
23,"LOPEZ MONTAGUD, Carlos",0,ESP,06 Jul 2000,28,983.75,100242012,LOPEZ MONTAGUD, Carlos
24,"HO, Ray",0,TPE,13 Feb 2000,29,973.75,100252540,HO, Ray
25,"MCHUGH, Aidan",0,GBR,09 Jul 2000,18,968.75,100235871,MCHUGH, Aidan
26,"WASSERMANN, Deney",0,NED,25 Mar 2001,28,967.50,100256175,WASSERMANN, Deney
27,"ALVAREZ VARONA, Nicolas",0,ESP,18 May 2001,24,945.00,100227072,ALVAREZ VARONA, Nicolas
28,"STYLER, Ondrej",0,CZE,01 Jun 2000,20,930.00,100229815,STYLER, Ondrej
29,"BOVY, Arnaud",0,BEL,17 Sep 2000,36,929.25,100206746,BOVY, Arnaud
30,"SVRCINA, Dalibor",0,CZE,02 Oct 2002,27,916.25,100262047,SVRCINA, Dalibor
31,"MATUSEVICH, Anton",0,GBR,30 May 2001,33,915.00,100210092,MATUSEVICH, Anton
32,"CERUNDOLO, Juan Manuel",0,ARG,15 Nov 2001,42,912.50,100288982,CERUNDOLO, Juan Manuel
33,"LEHECKA, Jiri",0,CZE,08 Nov 2001,25,903.75,100239663,LEHECKA, Jiri
34,"CAZAUX, Arthur",0,FRA,23 Aug 2002,34,900.00,100254266,CAZAUX, Arthur
35,"KINGSLEY, Cannon",0,USA,06 May 2001,25,884.25,100295230,KINGSLEY, Cannon
36,"FOREJTEK, Jonas",0,CZE,10 Mar 2001,32,868.75,100210075,FOREJTEK, Jonas
37,"WENGER, Damien",0,SUI,17 Mar 2000,34,868.50,100213266,WENGER, Damien
38,"NAVA, Emilio",0,USA,02 Dec 2001,36,860.00,100327421,NAVA, Emilio
39,"ROYER, Valentin",0,FRA,29 May 2001,35,828.75,100282321,ROYER, Valentin
40,"MICHALSKI, Daniel",0,POL,11 Jan 2000,29,827.50,100212850,MICHALSKI, Daniel
41,"VIRTANEN, Otto",0,FIN,21 Jun 2001,41,801.25,100223021,VIRTANEN, Otto
42,"ZEPPIERI, Giulio",0,ITA,07 Dec 2001,31,790.00,100233987,ZEPPIERI, Giulio
43,"MAYOT, Harold",0,FRA,04 Feb 2002,30,787.50,100245284,MAYOT, Harold
44,"ICHIKAWA, Taisei",0,JPN,21 Dec 2000,35,781.25,100263724,ICHIKAWA, Taisei
45,"FENTY, Andrew",0,USA,08 Mar 2000,24,761.25,100265941,FENTY, Andrew
46,"DE JONG, Jesper",0,NED,31 May 2000,34,741.25,100235115,DE JONG, Jesper
47,"TIRANTE, Thiago Agustin",0,ARG,10 Apr 2001,30,733.75,100269096,TIRANTE, Thiago Agustin
48,"REIS DA SILVA, Joao Lucas",0,BRA,26 Mar 2000,25,731.25,100282724,REIS DA SILVA, Joao Lucas
49,"ONCLIN, Gauthier",0,BEL,26 Feb 2001,30,726.25,100226793,ONCLIN, Gauthier
50,"HILDERBRAND, Trey",0,USA,15 May 2000,20,708.75,100266403,HILDERBRAND, Trey
51,"IVANOV, Simon Anthony",0,BUL,03 Jul 2000,45,688.75,100203943,IVANOV, Simon Anthony
52,"TASHBULATOV, Dostanbek",0,KAZ,27 Jun 2000,17,688.50,100236263,TASHBULATOV, Dostanbek
53,"DANILOV, Savriyan",0,RUS,03 Jun 2000,34,687.50,100221058,DANILOV, Savriyan
54,"ZINK, Tyler",0,USA,30 Jan 2001,41,685.00,100295240,ZINK, Tyler
55,"HENNING, Philip",0,RSA,10 Nov 2000,36,673.75,100205129,HENNING, Philip
56,"BROOKSBY, Jenson",0,USA,26 Oct 2000,3,650.00,100291581,BROOKSBY, Jenson
57,"MAREK, Wojciech",0,POL,27 May 2001,32,640.00,100232838,MAREK, Wojciech
58,"ALVES, Mateus",0,BRA,23 Jan 2001,31,640.00,100297504,ALVES, Mateus
59,"NANDA, Govind",0,USA,17 Feb 2001,34,637.50,100281618,NANDA, Govind
60,"MILADINOVIC, Marko",0,SRB,07 Dec 2000,8,635.00,100224343,MILADINOVIC, Marko
61,"RODRIGUES, Natan",+3,BRA,02 Feb 2002,42,603.50,100312706,RODRIGUES, Natan
62,"LINGUA LAVALLEN, Alejo Lorenzo",-1,ARG,09 Mar 2001,44,598.50,100309631,LINGUA LAVALLEN, Alejo Lorenzo
63,"RUNE, Holger Vitus Nodskov",+19,DEN,29 Apr 2003,30,597.50,100254993,RUNE, Holger Vitus Nodskov
64,"ZIMA, Leopold",-2,GER,13 May 2000,28,595.00,100199036,ZIMA, Leopold
65,"VON DER SCHULENBURG, Henry",-2,SUI,23 Jan 2000,28,592.50,100231462,VON DER SCHULENBURG, Henry
66,"STROM, Gustaf",+8,SWE,22 Sep 2001,37,580.75,100226260,STROM, Gustaf
67,"BINDA, Alexandr",-2,RUS,22 Sep 2001,31,572.50,100237206,BINDA, Alexandr
68,"WESTSTRATE, Lodewijk",-2,NED,01 Jul 2001,41,568.50,100238092,WESTSTRATE, Lodewijk
69,"YUNCHAOKETE, Bu",-2,CHN,19 Jan 2002,22,565.50,100287473,YUNCHAOKETE, Bu
70,"PARK, Uisung",-2,KOR,27 Sep 2000,14,563.75,100267649,PARK, Uisung
71,"HERMAN , Louis",+2,BEL,03 May 2001,33,558.00,100234942,HERMAN , Louis
72,"FEARNLEY, Jacob",-3,GBR,15 Jul 2001,34,542.75,100248589,FEARNLEY, Jacob
73,"FOMIN, Sergey",-3,UZB,01 Feb 2001,32,542.50,100232794,FOMIN, Sergey
74,"KILANI, Yassir",-3,MAR,10 Aug 2000,22,538.50,100268869,KILANI, Yassir
75,"NGUYEN, Phuong Van",-3,VIE,27 Feb 2001,29,530.50,100276046,NGUYEN, Phuong Van
76,"MAYO, Keenan",-1,USA,26 May 2000,33,520.00,100221756,MAYO, Keenan
77,"KALENDER, Admir",-1,CRO,12 Jan 2001,42,516.25,100251476,KALENDER, Admir
78,"MAKK, Peter",-1,HUN,20 Oct 2001,44,516.25,100237333,MAKK, Peter
79,"ARNALDI, Matteo",-1,ITA,22 Feb 2001,42,509.25,100256114,ARNALDI, Matteo
80,"SCHLAGETER, Justin",-1,GER,09 Mar 2001,35,504.75,100228638,SCHLAGETER, Justin
81,"TORTORA, Davide",-1,ITA,22 Sep 2000,28,503.75,100233990,TORTORA, Davide
82,"PALOSI, Stefan",-1,ROU,28 Jan 2000,22,498.75,100206318,PALOSI, Stefan
83,"WENDELKEN, Harry",0,GBR,18 Dec 2001,28,480.50,100249038,WENDELKEN, Harry
84,"SPIZZIRRI, Eliot",0,USA,23 Dec 2001,42,477.50,100305900,SPIZZIRRI, Eliot
85,"CRETU, Cezar",0,ROU,24 Apr 2001,31,477.50,100235180,CRETU, Cezar
86,"SHUMEIKO, Pavel",0,UKR,11 Oct 2000,29,476.25,100206019,SHUMEIKO, Pavel
87,"SQUIRE, Henri",0,GER,27 Sep 2000,26,471.25,100212846,SQUIRE, Henri
88,"SENGUL, Bora",0,TUR,30 Oct 2001,38,463.75,100219567,SENGUL, Bora
89,"GIMENEZ, Igor",0,BRA,20 Feb 2000,36,461.25,100262530,GIMENEZ, Igor
90,"BANTHIA, Siddhant",0,IND,04 Aug 2000,24,456.00,100260749,BANTHIA, Siddhant
91,"WOODALL, William",0,USA,14 Feb 2000,41,453.50,100238803,WOODALL, William
92,"HAN, Seon Yong",0,KOR,18 Jan 2001,36,450.00,100263128,HAN, Seon Yong
93,"GREVELIUS, Erik",0,SWE,24 Jun 2000,34,448.75,100200121,GREVELIUS, Erik
94,"KODAT, Toby Alex",0,USA,13 Jan 2003,32,446.75,100253527,KODAT, Toby Alex
95,"JEONG, Yeongseok",0,KOR,04 Mar 2000,13,435.25,100263129,JEONG, Yeongseok
96,"FERREIRA, Joao",0,BRA,25 Jan 2001,37,435.00,100312315,FERREIRA, Joao
97,"DROGUET, Titouan",0,FRA,15 Jun 2001,21,425.00,100225211,DROGUET, Titouan
98,"ERHARD, Mathys",0,FRA,26 Oct 2001,38,425.00,100248354,ERHARD, Mathys
99,"SCHOOLKATE, Tristan",0,AUS,26 Feb 2001,16,418.25,100259233,SCHOOLKATE, Tristan
100,"KOLASINSKI, Filip",0,POL,04 Dec 2000,40,415.00,100214659,KOLASINSKI, Filip
101,"NEFVE, Axel",0,USA,22 Jul 2000,22,414.75,100265965,NEFVE, Axel
102,"PASSARO, Francesco",0,ITA,07 Jan 2001,25,414.75,100231513,PASSARO, Francesco
103,"RODRIGUEZ, Sebastian",0,PER,13 Nov 2001,37,412.50,100310228,RODRIGUEZ, Sebastian
104,"MARMOUSEZ, Lilian",0,FRA,03 Jan 2002,35,405.25,100256036,MARMOUSEZ, Lilian
105,"LOFFHAGEN, George",0,GBR,19 Apr 2001,17,402.50,100232017,LOFFHAGEN, George
106,"RIQUELME COPPARI, Agustin",0,ARG,16 Jan 2000,31,402.50,100293194,RIQUELME COPPARI, Agustin
107,"MO, Yecong",0,CHN,26 Jun 2000,23,401.25,100295070,MO, Yecong
108,"KHAN, Zane",+1,USA,11 Feb 2002,28,394.50,100302783,KHAN, Zane
109,"CALDES, Jaime",+59,ESP,22 Feb 2001,23,393.00,100262800,CALDES, Jaime
110,"STORY, James",0,GBR,05 Mar 2001,33,388.00,100256154,STORY, James
111,"VANSHELBOIM, Eric",0,UKR,15 Jul 2001,49,387.00,100209981,VANSHELBOIM, Eric
112,"SWEENY, Dane",-4,AUS,12 Feb 2001,22,386.00,100236260,SWEENY, Dane
113,"RODESCH, Chris",-1,LUX,18 Jul 2001,25,384.50,100212990,RODESCH, Chris
114,"PATEL, Megh Bhargav",-1,IND,20 Feb 2000,29,383.50,100278724,PATEL, Megh Bhargav
115,"MORONI, Filippo",-1,ITA,01 Feb 2001,26,381.75,100207444,MORONI, Filippo
116,"ANDALORO , Fabrizio",-1,ITA,31 Jan 2001,37,380.00,100207889,ANDALORO , Fabrizio
117,"GLINKA, Daniil",-1,EST,12 May 2000,46,376.25,100203909,GLINKA, Daniil
118,"PUCINELLI DE ALMEIDA, Matheus",-1,BRA,01 Apr 2001,18,373.50,100248937,PUCINELLI DE ALMEIDA, Matheus
119,"MALAN, Pierre",+18,RSA,27 Feb 2001,26,373.50,100247687,MALAN, Pierre
120,"PARK, Minjong",-2,KOR,22 Oct 2001,24,372.25,100279287,PARK, Minjong
121,"PANTINO, Arthur Craig",-2,PHI,18 Apr 2001,37,370.75,100279540,PANTINO, Arthur Craig
122,"SANCHEZ JOVER, Carlos",-2,ESP,21 Jul 2000,16,365.00,100239401,SANCHEZ JOVER, Carlos
123,"ALCARAZ GARFIA, Carlos",-2,ESP,05 May 2003,9,364.75,100274672,ALCARAZ GARFIA, Carlos
124,"NG, Ki Lung",-2,HKG,01 Aug 2001,37,360.75,100241081,NG, Ki Lung
125,"SHARRMA, Sacchitt",-2,IND,16 Jan 2001,23,360.50,100283592,SHARRMA, Sacchitt
126,"KRUTYKH, Oleksii",-1,UKR,10 Mar 2000,18,359.75,100193019,KRUTYKH, Oleksii
127,"LERBY, Christian",-1,NED,07 Nov 2001,39,357.50,100259126,LERBY, Christian
128,"SINGH, Vikash",-1,IND,27 Aug 2000,25,354.25,100278792,SINGH, Vikash
129,"JACHUCK, Ronan",-1,USA,08 Oct 2001,36,351.00,100291606,JACHUCK, Ronan
130,"CRONJE, Lleyton",-1,RSA,22 Sep 2000,30,346.00,100205107,CRONJE, Lleyton
131,"NOSKIN, Egor",-1,RUS,09 May 2000,27,346.00,100203126,NOSKIN, Egor
132,"ANSELMO, Baptiste",-1,FRA,14 Jun 2001,32,343.75,100245915,ANSELMO, Baptiste
133,"TACCHI, Luciano",-1,ARG,26 Apr 2001,31,342.50,100313465,TACCHI, Luciano
134,"TSAI, Chang-Lin",-1,TPE,13 Mar 2001,24,341.00,100301913,TSAI, Chang-Lin
135,"KRUMICH, Martin",-1,CZE,26 Dec 2002,16,340.50,100259221,KRUMICH, Martin
136,"LYEONS, Jaycer",-1,USA,16 Nov 2000,23,340.00,100293788,LYEONS, Jaycer
137,"THOMSON, Connor",-1,GBR,16 Jan 2001,33,339.00,100259938,THOMSON, Connor
138,"IONEL, Nicholas David",+43,ROU,12 Oct 2002,24,337.25,100245686,IONEL, Nicholas David
139,"STORCH, Stefan",-1,AUS,27 Oct 2001,38,336.50,100298973,STORCH, Stefan
140,"SUKSUMRARN, Thantub",-1,THA,18 May 2001,21,336.50,100303379,SUKSUMRARN, Thantub
141,"VON DER SCHULENBURG, Jeffrey",-1,SUI,13 Feb 2002,31,335.00,100249672,VON DER SCHULENBURG, Jeffrey
142,"MIKULA, Michal",-1,POL,04 Mar 2000,34,334.75,100280358,MIKULA, Michal
143,"VOISIN, Emilien",-19,FRA,17 Apr 2000,16,333.75,100198047,VOISIN, Emilien
144,"GIMA, Sebastian",-2,ROU,17 May 2002,40,332.25,100236558,GIMA, Sebastian
145,"NARDI , Luca",+2,ITA,06 Aug 2003,16,330.25,100276778,NARDI , Luca
146,"DONG, Chen",0,AUS,20 Nov 2002,31,329.00,100326681,DONG, Chen
147,"GRANT, William",-3,USA,13 Feb 2001,41,326.25,100233991,GRANT, William
148,"BOUQUIER , Arthur",-3,FRA,25 Dec 2000,24,325.25,100219957,BOUQUIER , Arthur
149,"MONTSI, Khololwam",+2,RSA,20 Nov 2002,36,324.00,100247694,MONTSI, Khololwam
150,"DESCHAMPS, Allan",-1,FRA,17 Aug 2001,40,323.50,100227916,DESCHAMPS, Allan
151,"MORGAN, Charl",+68,RSA,26 Jul 2001,43,323.00,100247695,MORGAN, Charl
152,"MITSUI, Shunsuke",-4,JPN,20 May 2002,29,321.75,100311463,MITSUI, Shunsuke
153,"RIHANE, Youcef",+1,ALG,21 Jun 2001,26,319.50,100282661,RIHANE, Youcef
154,"SPASIBO, Danil",-4,RUS,19 Jun 2001,34,318.00,100239714,SPASIBO, Danil
155,"BLEKHER, Gleb",-3,CAN,29 Dec 2000,25,317.00,100271712,BLEKHER, Gleb
156,"KLOPPER, Joubert",+6,RSA,01 Aug 2001,24,317.00,100235130,KLOPPER, Joubert
157,"SHAH, Mann",-4,IND,03 May 2001,36,316.00,100278772,SHAH, Mann
158,"BAADI, Taha",-3,CAN,19 Jul 2001,30,312.50,100260371,BAADI, Taha
159,"KACHMAZOV, Alibek",-3,RUS,17 Aug 2002,20,312.00,100236282,KACHMAZOV, Alibek
160,"MOCHIZUKI, Shintaro",+6,JPN,02 Jun 2003,28,307.00,100330690,MOCHIZUKI, Shintaro
161,"TORSKI, Osman",-3,GER,24 Jul 2001,31,305.00,100209204,TORSKI, Osman
162,"PAULSON, Andrew",-3,CZE,16 Nov 2001,35,303.75,100227059,PAULSON, Andrew
163,"CAVRAK, Ken",-20,AUS,27 Jan 2001,16,303.75,100277034,CAVRAK, Ken
164,"DAMBROSI, Giacomo",-7,ITA,20 Aug 2001,26,303.00,100257124,DAMBROSI, Giacomo
165,"BAKER, Blu",-5,GBR,28 Aug 2001,35,303.00,100285566,BAKER, Blu
166,"MATSUSHITA, Ryoma",-5,JPN,14 Jun 2001,32,303.00,100279062,MATSUSHITA, Ryoma
167,"COULIBALY, Eliakim",0,CIV,05 May 2002,26,301.00,100331635,COULIBALY, Eliakim
168,"SENDOGAN, Emir",-4,TUR,01 Nov 2001,27,296.50,100231425,SENDOGAN, Emir
169,"LA VELA, Giuseppe",-6,ITA,16 Oct 2000,30,295.75,100202835,LA VELA, Giuseppe
170,"ZHUKAYEV, Beibit",-5,KAZ,12 Oct 2000,31,295.00,100253871,ZHUKAYEV, Beibit
171,"BICKNELL, Blaise",-2,USA,26 Nov 2001,36,292.00,100298294,BICKNELL, Blaise
172,"ARNABOLDI, Federico",-2,ITA,18 Jun 2000,19,287.75,100202773,ARNABOLDI, Federico
173,"VOROS, Mate",-2,HUN,06 Mar 2000,45,287.75,100232030,VOROS, Mate
174,"SINGH, Digvijay Pratap",-2,IND,02 Jun 2000,25,287.50,100288227,SINGH, Digvijay Pratap
175,"SAMREJ, Kasidit",-2,THA,26 Jan 2001,31,285.50,100279487,SAMREJ, Kasidit
176,"CHIN, Christian Didier",-2,MAS,23 Aug 2000,42,285.00,100277193,CHIN, Christian Didier
177,"SAADI, Ismail",-2,MAR,26 Jan 2001,27,284.00,100225374,SAADI, Ismail
178,"ZGIROVSKY, Alexander",-2,BLR,10 Jul 2001,24,283.75,100209450,ZGIROVSKY, Alexander
179,"AGAFONOV, Egor",-2,RUS,05 Sep 2002,24,281.75,100248927,AGAFONOV, Egor
180,"ATMANE, Terence",+4,FRA,09 Jan 2002,41,280.50,100245657,ATMANE, Terence
181,"SCHMID, Aaron",-3,SUI,17 Sep 2000,18,280.00,100238785,SCHMID, Aaron
182,"HORVAT, Roko",-3,CRO,30 Mar 2001,29,280.00,100250751,HORVAT, Roko
183,"ZHAO , Zhao",-3,CHN,01 Mar 2000,32,278.50,100294094,ZHAO , Zhao
184,"LALAMI LAAROUSSI, Younes",-2,MAR,18 Apr 2001,44,273.75,100211598,LALAMI LAAROUSSI, Younes
185,"WATANABE, Seita",-2,JPN,25 Dec 2000,17,273.50,100295935,WATANABE, Seita
186,"OZOLINS , Karlis",0,LAT,15 Jun 2002,28,268.50,100236393,OZOLINS , Karlis
187,"SISAM, Macsen",0,NZL,31 May 2000,14,267.75,100234290,SISAM, Macsen
188,"WELCH, Sebastian",-3,CHI,06 Jan 2000,48,267.50,100301326,WELCH, Sebastian
189,"PALAN, Dominik",-1,CZE,30 Sep 2000,35,267.50,100204526,PALAN, Dominik
190,"MRSIC, Luka",-1,AUT,02 Dec 2000,19,266.75,100207887,MRSIC, Luka
191,"HOLIS, Evzen",-1,CZE,16 Feb 2000,28,266.50,100178498,HOLIS, Evzen
192,"HERSEY, Jake",-1,GBR,21 May 2000,16,266.25,100222945,HERSEY, Jake
193,"CHAHOUD, Kevin",-1,SWE,08 Oct 2001,30,266.00,100283155,CHAHOUD, Kevin
194,"ILKEL, Berk",-1,TUR,28 Jul 2001,46,265.00,100232217,ILKEL, Berk
195,"BARREIROS REYES, Mateo",-1,BRA,14 Dec 2000,28,264.50,100312800,BARREIROS REYES, Mateo
196,"MAGGIOLI, Emiliano",-1,ITA,30 Apr 2001,21,263.75,100228891,MAGGIOLI, Emiliano
197,"HUANG, Chih Chi",-1,CAN,14 Nov 2000,26,262.50,100252061,HUANG, Chih Chi
198,"MAGADAN, Alan",-1,MEX,26 May 2001,32,262.50,100369852,MAGADAN, Alan
199,"CENGIZ, Baran",+8,TUR,23 May 2001,26,260.00,100213559,CENGIZ, Baran
200,"DANILCHENKO, Ilarion",-1,RUS,30 Aug 2001,39,257.00,100317329,DANILCHENKO, Ilarion
201,"COLAS SANCHEZ, Alberto",-1,ESP,19 May 2000,22,255.00,100235492,COLAS SANCHEZ, Alberto
202,"DESCARREGA, Tomas",-1,ARG,27 Sep 2000,16,255.00,100314150,DESCARREGA, Tomas
203,"LEE, Alexander",0,USA,12 Jan 2002,26,254.25,100327558,LEE, Alexander
204,"STEINEGGER, Yannik",-2,SUI,11 Sep 2000,22,251.75,100228649,STEINEGGER, Yannik
205,"VEDRI ASENSI, Alejandro",-1,ESP,17 May 2000,23,251.50,100240487,VEDRI ASENSI, Alejandro
206,"TACZALA, Dawid",+7,POL,30 Jan 2002,28,249.50,100252405,TACZALA, Dawid
207,"SEPULVEDA GARZA, Marcelo",-2,MEX,22 Sep 2000,24,246.25,100264961,SEPULVEDA GARZA, Marcelo
208,"GIMENO VALERO , Carlos",-2,ESP,25 Jun 2001,5,245.00,100239859,GIMENO VALERO , Carlos
209,"WISKANDT, Max",+22,GER,01 Feb 2002,29,244.75,100258634,WISKANDT, Max
210,"MARCH, Antonio Cayetano",-2,ECU,03 Jul 2000,32,243.00,100289695,MARCH, Antonio Cayetano
211,"VALLABHANENI, Niroop",-2,USA,28 May 2002,28,242.50,100308420,VALLABHANENI, Niroop
212,"GOMEZ, Mateo",-2,COL,29 Apr 2002,27,241.25,100333959,GOMEZ, Mateo
213,"BREYSACH , Martin",+1,FRA,30 Jan 2002,36,241.00,100269204,BREYSACH , Martin
214,"VYLEGZHANIN, Nikolay",-3,RUS,18 Apr 2000,6,238.75,100177106,VYLEGZHANIN, Nikolay
215,"EMESZ, Benedikt",+13,AUT,05 Dec 2001,41,238.75,100228965,EMESZ, Benedikt
216,"SPEZIALI , Filippo",-18,ITA,24 Apr 2000,31,238.00,100198015,SPEZIALI , Filippo
217,"MACHAC, Tomas",-5,CZE,13 Oct 2000,10,237.50,100197664,MACHAC, Tomas
218,"PEREZ, Brandon",-3,VEN,14 Jan 2000,41,233.75,100272962,PEREZ, Brandon
219,"GAPONENKO, Alexander",-2,ISR,01 Jun 2002,30,232.50,100272855,GAPONENKO, Alexander
220,"KABURA, Abdoul Shakur",-2,BDI,22 Jan 2001,32,230.00,100293161,KABURA, Abdoul Shakur
221,"NOVIKOV, Egor",-1,RUS,12 Sep 2001,27,228.25,100248403,NOVIKOV, Egor
222,"COBOLLI, Flavio",+4,ITA,06 May 2002,22,228.00,100254431,COBOLLI, Flavio
223,"ANGELE, Jaimee Floyd",-2,FRA,27 Mar 2000,8,227.50,100224914,ANGELE, Jaimee Floyd
224,"SHIRAISHI, Hikaru",-2,JPN,22 May 2000,14,227.50,100262589,SHIRAISHI, Hikaru
225,"SHEYNGEZIKHT, Leonid",-2,BUL,04 Nov 2000,22,226.25,100202282,SHEYNGEZIKHT, Leonid
226,"DALE, Andrew",-2,USA,01 Nov 2001,27,226.25,100316578,DALE, Andrew
227,"PEL, Stijn",-11,NED,24 Apr 2002,33,225.50,100263042,PEL, Stijn
228,"LANZ, Mischa",-3,SUI,31 May 2000,22,225.00,100202784,LANZ, Mischa
229,"POPOVIC, Mihailo",+12,SRB,11 Feb 2001,18,225.00,100208362,POPOVIC, Mihailo
230,"YOSHIMURA, Daiki",+9,JPN,07 Mar 2002,40,224.00,100257736,YOSHIMURA, Daiki
231,"IKEDA, Tomoya",-4,JPN,30 May 2001,24,221.00,100286889,IKEDA, Tomoya
232,"DRAXL , Liam",-3,CAN,05 Dec 2001,25,220.00,100259937,DRAXL , Liam
233,"PAWLAK, Piotr",-3,POL,12 Jan 2002,34,220.00,100254246,PAWLAK, Piotr
234,"DUDEK, Tomasz",-2,POL,13 Jan 2000,35,218.75,100227073,DUDEK, Tomasz
235,"CUETO RAMOS, Javier",-2,ESP,20 Apr 2001,22,218.75,100245903,CUETO RAMOS, Javier
236,"DICA , Nini Gabriel",-2,ROU,29 Apr 2001,39,216.25,100214225,DICA , Nini Gabriel
237,"VOLONSKI, Nikita",-2,AUS,07 Sep 2001,24,215.75,100281143,VOLONSKI, Nikita
238,"GUARIN, Samuel",-2,COL,29 Sep 2000,54,214.50,100298289,GUARIN, Samuel
239,"MOLLEKER, Rudolf",-2,GER,26 Oct 2000,4,212.50,100208539,MOLLEKER, Rudolf
240,"FERRARI , Gianmarco",-2,ITA,04 Oct 2000,29,211.75,100306872,FERRARI , Gianmarco
241,"SHI, Brian",-1,USA,24 Feb 2000,21,210.00,100256058,SHI, Brian
242,"HEIDE, Gustavo",+21,BRA,28 Feb 2002,17,209.25,100347809,HEIDE, Gustavo
243,"SHARIPOV, Marat",-1,RUS,09 Oct 2002,32,208.75,100248349,SHARIPOV, Marat
244,"GINAT, Roi",-1,ISR,18 Feb 2001,35,206.50,100255287,GINAT, Roi
245,"SKIERKIER, Boruch",-1,ARG,24 Aug 2000,31,206.00,100329106,SKIERKIER, Boruch
246,"LU, Pengyu",-1,CHN,09 Jan 2002,34,204.75,100299061,LU, Pengyu
247,"KASHIRIN, Nikita",-1,RUS,01 Jan 2002,26,204.75,100257118,KASHIRIN, Nikita
248,"HUDD, Emile",-1,GBR,27 May 2000,22,203.75,100228640,HUDD, Emile
249,"GARCIA, Alejandro",-1,ESP,19 Nov 2001,25,203.50,100259238,GARCIA, Alejandro
250,"HAN, Nathan",-1,USA,15 Apr 2001,27,202.50,100283730,HAN, Nathan
251,"KIM, Geun Jun",-1,KOR,27 Jul 2001,19,202.50,100279200,KIM, Geun Jun
252,"EL MESBAHI, Soufiane",-1,MAR,22 Feb 2001,18,202.50,100250961,EL MESBAHI, Soufiane
253,"KOPCZYNSKI, Tomas",-1,USA,11 Jun 2000,32,201.25,100189906,KOPCZYNSKI, Tomas
254,"SINNER , Jannik",-1,ITA,16 Aug 2001,9,200.50,100241350,SINNER , Jannik
255,"BURRUCHAGA, Roman Andres",-1,ARG,23 Jan 2002,25,200.50,100332705,BURRUCHAGA, Roman Andres
256,"CORNUT CHAUVINC, Antoine",-1,FRA,07 Jul 2000,4,200.00,100220372,CORNUT CHAUVINC, Antoine
257,"YAMANAKA, Taiyo",-1,JPN,05 Sep 2001,28,198.75,100291641,YAMANAKA, Taiyo
258,"JACOBS, Frederic",-1,BEL,23 Jun 2000,20,197.50,100260608,JACOBS, Frederic
259,"WOZNIAK, Michal",-1,POL,28 Mar 2000,35,197.50,100289764,WOZNIAK, Michal
260,"JORDAN, Phillip",-1,USA,07 Nov 2000,32,197.00,100316591,JORDAN, Phillip
261,"WELTE, Milan",-1,GER,30 Jun 2001,13,195.00,100211564,WELTE, Milan
262,"RIVIERE PADILHA, Diego",-1,BRA,03 Mar 2000,30,194.50,100259437,RIVIERE PADILHA, Diego
263,"SHARDA, Rishabh",-1,IND,09 Jan 2000,25,194.50,100283235,SHARDA, Rishabh
