Rank,RankOpponent,eventResults,eventScore,sets,playerGames,opponentGames
5,35.0,W,3-6 6-3 6-0,3.0,15.0,9.0
5,40.0,W,6-4 6-0,2.0,12.0,4.0
5,56.0,W,6-3 6-3,2.0,12.0,6.0
5,8.0,L,1-6 6-2 2-6,3.0,9.0,14.0
5,232.0,W,6-2 6-2,2.0,12.0,4.0
5,83.0,L,1-6 7-5 6-7,3.0,14.0,18.0
5,24.0,W,6-2 6-4,2.0,12.0,6.0
5,32.0,W,6-0 6-7 6-2,3.0,18.0,9.0
5,4.0,W,7-5 6-7 6-1,3.0,19.0,13.0
5,9.0,L,7-6 3-6 1-6,3.0,11.0,18.0
5,27.0,W,6-2 3-6 7-6,3.0,16.0,14.0
5,48.0,W,6-2 6-2,2.0,12.0,4.0
5,50.0,W,2-6 6-2 6-1,3.0,14.0,9.0
5,9.0,L,4-6 1-6,2.0,5.0,12.0
5,161.0,W,6-2 6-1,2.0,12.0,3.0
5,210.0,W,6-3 6-0,2.0,12.0,3.0
5,89.0,W,7-5 6-4,2.0,13.0,9.0
5,28.0,W,6-7,3.0,6.0,7.0
5,15.0,U,6-1 3-1,2.0,9.0,2.0
5,13.0,W,6-4 6-2,2.0,12.0,6.0
5,70.0,L,3-6 2-6,2.0,5.0,12.0
6,84.0,W,7-6 6-2,2.0,13.0,8.0
6,76.0,W,6-3 6-3,2.0,12.0,6.0
6,44.0,L,6-3 5-7 4-6,3.0,15.0,16.0
6,952.0,W,7-6 6-0,2.0,13.0,6.0
6,129.0,W,6-4 6-2,2.0,12.0,6.0
6,59.0,L,6-7 5-7,2.0,11.0,14.0
6,55.0,W,7-5 7-6,2.0,14.0,11.0
6,40.0,W,7-6 6-0,2.0,13.0,6.0
6,35.0,W,7-6 7-5,2.0,14.0,11.0
6,12.0,W,7-6 7-5,2.0,14.0,11.0
6,9.0,L,6-7 17-19,3.0,23.0,26.0
6,57.0,W,6-2 6-1,2.0,12.0,3.0
6,105.0,W,5-7 6-3 6-4,3.0,17.0,14.0
6,97.0,L,6-7 4-6,2.0,10.0,13.0
6,16.0,W,6-3 6-4,2.0,12.0,7.0
6,35.0,W,1-6 6-4 6-4,3.0,13.0,14.0
6,11.0,W,6-1 6-4,2.0,12.0,5.0
6,1.0,L,2-6 3-6,2.0,5.0,12.0
7,34.0,U,3-6 2-4,2.0,5.0,10.0
7,88.0,W,6-3 7-6,2.0,13.0,9.0
7,437.0,W,6-1 6-2,2.0,12.0,3.0
7,77.0,W,6-4 6-2,2.0,12.0,6.0
7,40.0,W,6-4 6-2,2.0,12.0,6.0
7,39.0,W,7-5 6-2,2.0,13.0,7.0
7,36.0,L,7-6 3-6,3.0,10.0,12.0
7,58.0,W,6-3 6-3,2.0,12.0,6.0
7,9.0,L,3-6 0-6,2.0,3.0,12.0
7,34.0,W,6-4 6-4,2.0,12.0,8.0
7,192.0,W,6-2 6-1,2.0,12.0,3.0
7,10.0,L,4-6 3-6,2.0,7.0,12.0
7,34.0,W,6-2 7-6,2.0,13.0,8.0
7,12.0,W,6-4 6-1,2.0,12.0,5.0
7,23.0,L,5-7 1-6,2.0,6.0,13.0
7,285.0,U,6-4 1-4,2.0,7.0,8.0
8,108.0,W,6-7 6-1 6-3,3.0,18.0,11.0
8,33.0,W,6-4 6-2,2.0,12.0,6.0
8,25.0,W,6-4 6-1,2.0,12.0,5.0
8,44.0,W,7-6 6-4,2.0,13.0,10.0
8,1.0,W,6-2 6-4,2.0,12.0,6.0
8,5.0,W,6-1 2-6 6-2,3.0,14.0,9.0
8,47.0,W,6-3 6-2,2.0,12.0,5.0
8,70.0,W,6-4 6-1,2.0,12.0,5.0
8,14.0,W,6-1 6-3,2.0,12.0,4.0
8,10.0,W,6-1 6-4,2.0,12.0,5.0
8,2.0,L,2-6 2-6,2.0,4.0,12.0
9,65.0,W,6-1 6-4,2.0,12.0,5.0
9,7.0,W,6-3 6-0,2.0,12.0,3.0
9,14.0,W,6-7 6-3 7-5,3.0,19.0,15.0
9,5.0,W,6-7 6-3 6-1,3.0,18.0,11.0
9,6.0,W,7-6 19-17,3.0,26.0,23.0
9,1.0,L,1-6 7-6 4-6,3.0,12.0,18.0
9,14.0,W,6-1 6-2,2.0,12.0,3.0
9,43.0,W,6-3 6-4,2.0,12.0,7.0
9,47.0,W,6-3 6-3,2.0,12.0,6.0
9,5.0,W,6-4 6-1,2.0,12.0,5.0
9,29.0,L,6-7 1-6,2.0,7.0,13.0
9,27.0,L,2-6 6-7,2.0,8.0,13.0
10,87.0,W,7-6 6-4,2.0,13.0,10.0
10,41.0,W,6-3 6-4,2.0,12.0,7.0
10,4.0,W,6-1 6-2,2.0,12.0,3.0
10,56.0,L,4-6 5-7,2.0,9.0,13.0
10,48.0,W,6-2 6-0,2.0,12.0,2.0
10,11.0,L,3-6 4-6,2.0,7.0,12.0
10,53.0,W,6-3 6-3,2.0,12.0,6.0
10,110.0,W,6-3 6-3,2.0,12.0,6.0
10,7.0,W,6-4 6-3,2.0,12.0,7.0
10,97.0,W,6-2 6-3,2.0,12.0,5.0
10,17.0,W,6-3 6-4,2.0,12.0,7.0
10,29.0,W,2-6 6-0 6-3,3.0,14.0,9.0
10,239.0,W,6-4 4-6 6-3,3.0,16.0,13.0
10,21.0,W,6-3 6-2,2.0,12.0,5.0
10,256.0,W,7-6 6-4,2.0,13.0,10.0
10,8.0,L,1-6 4-6,2.0,5.0,12.0
10,1261.0,W,4-6 6-2 6-3,3.0,16.0,11.0
10,21.0,W,6-3 6-1,2.0,12.0,4.0
10,31.0,L,2-6 2-6,2.0,4.0,12.0
101,90.0,W,6-3 6-3,2.0,12.0,6.0
101,93.0,W,6-3 6-2,2.0,12.0,5.0
101,29.0,L,4-6 5-7,2.0,9.0,13.0
101,123.0,L,6-7 2-6,2.0,8.0,13.0
102,1489.0,W,6-4 3-6 6-3,3.0,15.0,13.0
102,72.0,L,2-6 1-6,2.0,3.0,12.0
102,72.0,L,6-1 3-6 2-6,3.0,11.0,13.0
102,54.0,L,3-6 6-3 3-6,3.0,12.0,15.0
102,150.0,W,6-3 4-6 6-2,3.0,16.0,11.0
102,31.0,L,3-6 4-6,2.0,7.0,12.0
102,2768.0,W,6-0 6-0,2.0,12.0,0.0
102,194.0,W,6-2 6-0,2.0,12.0,2.0
102,193.0,L,0-6 5-7,2.0,5.0,13.0
102,13.0,L,6-2 4-6 4-6,3.0,14.0,14.0
102,233.0,W,6-2 6-7 6-4,3.0,18.0,13.0
102,66.0,W,6-3 6-2,2.0,12.0,5.0
102,142.0,W,6-1 6-3,2.0,12.0,4.0
102,100.0,W,6-3 6-4,2.0,12.0,7.0
102,79.0,W,6-3 6-4,2.0,12.0,7.0
103,592.0,W,6-1 6-3,2.0,12.0,4.0
103,11.0,W,6-2 6-3,2.0,12.0,5.0
103,31.0,L,1-6 2-6,2.0,3.0,12.0
104,518.0,W,6-1 6-2,2.0,12.0,3.0
104,1412.0,W,6-7 6-3 6-2,3.0,18.0,12.0
104,294.0,L,1-6 3-6,2.0,4.0,12.0
104,226.0,U,6-4 0-6 0-1,3.0,6.0,11.0
104,253.0,W,6-2 6-1,2.0,12.0,3.0
104,344.0,W,7-6 6-3,2.0,13.0,9.0
104,310.0,W,6-1 6-3,2.0,12.0,4.0
104,135.0,W,6-1 6-2,2.0,12.0,3.0
104,79.0,L,4-6 6-3 2-6,3.0,12.0,15.0
105,33.0,W,3-6 7-5 6-0,3.0,16.0,11.0
105,6.0,L,7-5 3-6 4-6,3.0,14.0,17.0
105,26.0,L,6-4 4-6 4-6,3.0,14.0,16.0
107,151.0,L,2-6 4-6,2.0,6.0,12.0
107,426.0,W,6-3 6-2,2.0,12.0,5.0
107,1149.0,W,6-3 6-0,2.0,12.0,3.0
107,554.0,U,4-6 0-3,2.0,4.0,9.0
107,2594.0,W,6-2 6-0,2.0,12.0,2.0
107,665.0,W,6-0 6-1,2.0,12.0,1.0
107,69.0,L,1-6 6-7,2.0,7.0,13.0
108,8.0,L,7-6 1-6 3-6,3.0,11.0,18.0
108,42.0,U,6-2,1.0,6.0,2.0
108,16.0,U,6-4 3-6 3-5,3.0,12.0,15.0
108,1845.0,W,6-0 6-2,2.0,12.0,2.0
108,,W,6-0 6-0,2.0,12.0,0.0
108,,W,6-1 6-0,2.0,12.0,1.0
108,777.0,W,6-2 6-4,2.0,12.0,6.0
108,893.0,W,6-2 6-4,2.0,12.0,6.0
108,415.0,W,6-1 6-4,2.0,12.0,5.0
108,211.0,W,6-4 6-4,2.0,12.0,8.0
109,359.0,W,6-1 6-1,2.0,12.0,2.0
109,297.0,W,4-6 6-4 6-0,3.0,16.0,10.0
109,222.0,W,6-3 5-7 6-3,3.0,17.0,13.0
109,266.0,W,6-1 1-6 6-3,3.0,13.0,10.0
109,265.0,W,6-4 6-4,2.0,12.0,8.0
109,78.0,W,4-6 6-2 6-1,3.0,16.0,9.0
109,350.0,W,6-4 6-4,2.0,12.0,8.0
109,162.0,W,7-5 6-4,2.0,13.0,9.0
109,61.0,W,7-6 6-3,2.0,13.0,9.0
109,135.0,W,6-1 6-1,2.0,12.0,2.0
109,69.0,L,1-6 4-6,2.0,5.0,12.0
109,2009.0,W,6-0 6-2,2.0,12.0,2.0
109,663.0,W,7-6 6-4,2.0,13.0,10.0
109,609.0,W,6-2 6-4,2.0,12.0,6.0
109,324.0,L,7-5 6-7 3-6,3.0,16.0,18.0
110,350.0,L,0-6 1-6,2.0,1.0,12.0
110,88.0,W,6-4 3-6 7-6,3.0,16.0,16.0
110,173.0,W,5-7 6-2 6-4,3.0,17.0,13.0
110,61.0,W,6-2 6-4,2.0,12.0,6.0
110,208.0,L,1-6 3-6,2.0,4.0,12.0
110,418.0,W,6-7 6-2 6-2,3.0,18.0,11.0
110,229.0,L,5-7 6-7,2.0,11.0,14.0
110,15.0,W,6-7 6-3 6-4,3.0,18.0,14.0
110,10.0,L,3-6 3-6,2.0,6.0,12.0
110,600.0,L,4-6 4-6,2.0,8.0,12.0
110,171.0,W,6-3 7-5,2.0,13.0,8.0
110,142.0,L,3-6 6-4 2-6,3.0,11.0,16.0
11,429.0,W,6-2 6-4,2.0,12.0,6.0
11,42.0,L,0-6 1-6,2.0,1.0,12.0
11,165.0,W,6-3 6-4,2.0,12.0,7.0
11,10.0,W,6-3 6-4,2.0,12.0,7.0
11,16.0,L,4-6 4-6,2.0,8.0,12.0
11,36.0,L,4-6 5-7,2.0,9.0,13.0
11,195.0,W,7-5 6-2,2.0,13.0,7.0
11,57.0,W,2-6 6-3 6-1,3.0,14.0,10.0
11,6.0,L,1-6 4-6,2.0,5.0,12.0
11,103.0,L,2-6 3-6,2.0,5.0,12.0
12,35.0,L,2-6 3-6,2.0,5.0,12.0
12,44.0,U,1-5,1.0,1.0,5.0
12,171.0,W,6-2 6-4,2.0,12.0,6.0
12,281.0,W,6-3 6-0,2.0,12.0,3.0
12,232.0,W,6-3 6-4,2.0,12.0,7.0
12,52.0,W,6-1 6-3,2.0,12.0,4.0
12,16.0,W,6-4 2-6 6-4,3.0,14.0,14.0
12,19.0,U,5-2,1.0,5.0,2.0
12,2.0,W,6-2 6-4,2.0,12.0,6.0
12,73.0,W,6-2 6-4,2.0,12.0,6.0
12,29.0,W,6-3 6-2,2.0,12.0,5.0
12,6.0,L,6-7 5-7,2.0,11.0,14.0
12,192.0,L,4-6 4-6,2.0,8.0,12.0
12,54.0,W,6-2 6-4,2.0,12.0,6.0
12,7.0,L,4-6 1-6,2.0,5.0,12.0
13,58.0,L,6-7 6-4 5-7,3.0,17.0,18.0
13,81.0,W,7-5 6-3,2.0,13.0,8.0
13,44.0,L,4-6 0-6,2.0,4.0,12.0
13,395.0,L,5-7 2-6,2.0,7.0,13.0
13,59.0,L,6-7 2-6,2.0,8.0,13.0
13,82.0,L,5-7 1-6,2.0,6.0,13.0
13,102.0,W,2-6 6-4 6-4,3.0,14.0,14.0
13,236.0,W,6-2 7-6,2.0,13.0,8.0
13,117.0,W,6-2 6-4,2.0,12.0,6.0
13,42.0,W,6-2 6-3,2.0,12.0,5.0
13,53.0,W,3-6 6-4 6-1,3.0,15.0,11.0
13,5.0,L,4-6 2-6,2.0,6.0,12.0
13,196.0,W,6-3 2-6 6-3,3.0,14.0,12.0
13,80.0,W,6-3 6-3,2.0,12.0,6.0
13,41.0,W,7-5 6-4,2.0,13.0,9.0
13,42.0,L,4-6 4-6,2.0,8.0,12.0
13,22.0,L,3-6 4-6,2.0,7.0,12.0
14,46.0,L,1-6 5-7,2.0,6.0,13.0
14,58.0,L,6-1 6-7 2-6,3.0,14.0,14.0
14,36.0,W,7-6 6-4,3.0,13.0,10.0
14,46.0,W,6-7 6-4 9-7,3.0,21.0,18.0
14,9.0,L,7-6 3-6 5-7,3.0,15.0,19.0
14,9.0,L,1-6 2-6,2.0,3.0,12.0
14,1037.0,W,7-5 7-6,2.0,14.0,11.0
14,73.0,W,5-7 6-2 6-3,3.0,17.0,12.0
14,8.0,L,1-6 3-6,2.0,4.0,12.0
15,57.0,L,0-6 6-7,2.0,6.0,13.0
15,66.0,L,6-7 3-6,2.0,9.0,13.0
15,26.0,L,3-6 4-6,2.0,7.0,12.0
15,110.0,L,7-6 3-6 4-6,3.0,14.0,18.0
15,116.0,W,6-1 6-3,2.0,12.0,4.0
15,642.0,W,6-3 6-3,2.0,12.0,6.0
15,360.0,W,6-2 6-2,2.0,12.0,4.0
15,21.0,W,3-6 6-2 6-4,3.0,15.0,12.0
15,5.0,U,1-6 1-3,2.0,2.0,9.0
15,250.0,W,6-1 6-2,2.0,12.0,3.0
15,228.0,W,6-2 6-2,2.0,12.0,4.0
15,33.0,L,5-7 7-6 3-6,3.0,15.0,19.0
15,122.0,W,6-2 1-6 6-4,3.0,13.0,12.0
15,490.0,L,1-6 6-3 2-6,3.0,9.0,15.0
16,50.0,L,6-7 6-2 2-6,3.0,14.0,15.0
16,264.0,W,4-6 6-1 6-1,3.0,16.0,8.0
16,108.0,U,4-6 6-3 5-3,3.0,15.0,12.0
16,57.0,W,6-2 6-2,2.0,12.0,4.0
16,85.0,W,6-1 6-1,2.0,12.0,2.0
16,12.0,L,4-6 6-2 4-6,3.0,14.0,14.0
16,137.0,W,6-1 6-2,2.0,12.0,3.0
16,30.0,W,6-1 6-4,2.0,12.0,5.0
16,11.0,W,6-4 6-4,2.0,12.0,8.0
16,31.0,W,7-5 6-1,2.0,13.0,6.0
16,1.0,L,3-6 1-6,2.0,4.0,12.0
16,37.0,L,4-6 3-6,2.0,7.0,12.0
16,338.0,W,6-4 7-6,2.0,13.0,10.0
16,600.0,W,6-2 6-3,2.0,12.0,5.0
16,65.0,W,6-7 6-3,3.0,12.0,10.0
16,53.0,L,4-6 5-7,2.0,9.0,13.0
16,161.0,W,7-5 6-3,2.0,13.0,8.0
16,147.0,W,6-2 6-3,2.0,12.0,5.0
16,116.0,L,3-6 4-6,2.0,7.0,12.0
16,6.0,L,3-6 4-6,2.0,7.0,12.0
16,281.0,W,6-3 6-4,2.0,12.0,7.0
16,120.0,W,6-0 7-6,2.0,13.0,6.0
16,48.0,W,0-6 6-4 6-3,3.0,12.0,13.0
16,31.0,L,2-6 1-6,2.0,3.0,12.0
17,36.0,L,1-6 3-6,2.0,4.0,12.0
17,72.0,L,6-3 3-6 1-6,3.0,10.0,15.0
17,50.0,L,7-6 1-6,3.0,8.0,12.0
17,21.0,W,7-6,2.0,7.0,6.0
17,35.0,W,6-4 6-2,2.0,12.0,6.0
17,165.0,W,6-1 6-3,2.0,12.0,4.0
17,3.0,W,6-4 7-5,2.0,13.0,9.0
17,10.0,L,3-6 4-6,2.0,7.0,12.0
17,60.0,W,7-5 3-6 6-4,3.0,16.0,15.0
17,2.0,L,6-3 2-6 2-6,3.0,10.0,15.0
17,178.0,W,6-2 6-1,2.0,12.0,3.0
17,416.0,W,6-2 6-2,2.0,12.0,4.0
17,49.0,W,6-1 7-5,2.0,13.0,6.0
17,37.0,L,6-1 6-7 2-6,3.0,14.0,14.0
18,76.0,L,6-4 5-7 2-6,3.0,13.0,17.0
18,62.0,W,6-3 6-3,2.0,12.0,6.0
18,46.0,W,6-4 6-1,2.0,12.0,5.0
18,38.0,L,7-5 1-6 3-6,3.0,11.0,17.0
18,,W,6-7 6-4 6-0,3.0,18.0,11.0
18,116.0,W,6-0 7-5,2.0,13.0,5.0
18,27.0,W,6-4 7-6,2.0,13.0,10.0
18,31.0,L,4-6 6-7,2.0,10.0,13.0
18,64.0,W,5-7 7-6 6-3,3.0,18.0,16.0
18,165.0,L,4-6 7-5 2-6,3.0,13.0,17.0
18,284.0,L,6-7 6-4 3-6,3.0,15.0,17.0
19,59.0,W,6-4 7-6,2.0,13.0,10.0
19,58.0,W,6-4 7-5,2.0,13.0,9.0
19,42.0,L,4-6 1-6,2.0,5.0,12.0
19,84.0,W,7-6 6-2,2.0,13.0,8.0
19,260.0,W,6-1 6-3,2.0,12.0,4.0
19,32.0,W,7-5 6-0,2.0,13.0,5.0
19,59.0,W,4-6 6-1 6-3,3.0,16.0,10.0
19,22.0,W,7-6 4-6 6-4,3.0,17.0,16.0
19,12.0,U,2-5,1.0,2.0,5.0
19,30.0,L,3-6 5-7,2.0,8.0,13.0
19,43.0,L,6-3 6-7,3.0,12.0,10.0
19,4.0,W,4-6 6-1 6-0,3.0,16.0,7.0
19,58.0,W,6-1 5-7 6-2,3.0,17.0,10.0
19,24.0,W,6-4 6-2,2.0,12.0,6.0
19,2.0,L,6-1 6-7 5-7,3.0,17.0,15.0
20,40.0,L,6-1 2-6 6-7,3.0,14.0,14.0
20,31.0,L,3-6 2-6,2.0,5.0,12.0
20,117.0,W,6-2 1-6 6-4,3.0,13.0,12.0
20,306.0,W,7-6 6-3,2.0,13.0,9.0
20,47.0,W,7-5 6-2,2.0,13.0,7.0
20,22.0,L,2-6 4-6,2.0,6.0,12.0
20,51.0,W,6-4 4-6 6-4,3.0,16.0,14.0
20,28.0,L,7-6 5-7 1-6,3.0,13.0,19.0
20,515.0,L,4-6 3-6,2.0,7.0,12.0
20,490.0,L,3-6 6-3 2-6,3.0,11.0,15.0
111,,W,6-1 6-0,2.0,12.0,1.0
111,1054.0,W,6-3 6-2,2.0,12.0,5.0
111,151.0,L,4-6 1-6,2.0,5.0,12.0
111,,W,6-1 6-0,2.0,12.0,1.0
111,1116.0,W,6-0 6-1,2.0,12.0,1.0
111,621.0,W,6-2 6-4,2.0,12.0,6.0
111,329.0,L,5-7 3-6,2.0,8.0,13.0
111,1280.0,W,6-1 6-0,2.0,12.0,1.0
111,892.0,W,6-1 6-2,2.0,12.0,3.0
111,442.0,W,6-4 6-2,2.0,12.0,6.0
111,156.0,W,2-6 6-3 6-2,3.0,14.0,11.0
111,149.0,L,2-6 5-7,2.0,7.0,13.0
111,273.0,W,6-4 6-1,2.0,12.0,5.0
111,412.0,W,6-3 4-6 6-1,3.0,16.0,10.0
111,75.0,L,1-6 3-6,2.0,4.0,12.0
111,,W,6-0 6-1,2.0,12.0,1.0
111,2009.0,W,6-1 6-3,2.0,12.0,4.0
111,1082.0,W,6-2 6-4,2.0,12.0,6.0
111,446.0,W,1-6 6-3 6-0,3.0,13.0,9.0
111,346.0,W,6-2 6-3,2.0,12.0,5.0
111,,W,6-4 3-6 6-1,3.0,15.0,11.0
111,,W,6-2 6-0,2.0,12.0,2.0
111,1195.0,W,6-3 6-1,2.0,12.0,4.0
111,951.0,W,6-2 6-4,2.0,12.0,6.0
111,516.0,W,6-1 7-6,2.0,13.0,7.0
111,52.0,L,0-6 2-6,2.0,2.0,12.0
111,,W,6-2 6-0,2.0,12.0,2.0
111,524.0,W,6-2 5-7 7-5,3.0,18.0,14.0
111,231.0,L,4-6 2-6,2.0,6.0,12.0
111,341.0,L,1-6 4-6,2.0,5.0,12.0
112,862.0,W,6-2 6-0,2.0,12.0,2.0
112,426.0,W,6-3 6-3,2.0,12.0,6.0
112,1066.0,W,6-0 6-2,2.0,12.0,2.0
112,99.0,L,3-6 6-1 1-6,3.0,10.0,13.0
112,1752.0,W,7-5 6-2,2.0,13.0,7.0
112,308.0,W,6-3 3-6 6-4,3.0,15.0,13.0
112,99.0,L,3-6 2-6,2.0,5.0,12.0
112,462.0,W,6-1 6-0,2.0,12.0,1.0
112,965.0,W,6-1 6-0,2.0,12.0,1.0
112,331.0,L,4-6 1-6,2.0,5.0,12.0
113,710.0,W,6-2 6-3,2.0,12.0,5.0
113,344.0,W,6-2 6-7,3.0,12.0,9.0
113,215.0,W,6-7 6-3 6-3,3.0,18.0,13.0
113,208.0,W,6-2 6-4,2.0,12.0,6.0
113,145.0,L,2-6 2-6,2.0,4.0,12.0
113,596.0,W,6-1 6-3,2.0,12.0,4.0
113,265.0,L,4-6 7-6 2-6,3.0,13.0,18.0
113,135.0,W,6-2 7-6,2.0,13.0,8.0
113,297.0,W,3-6 7-6 6-3,3.0,16.0,15.0
113,261.0,L,4-6 2-6,2.0,6.0,12.0
113,808.0,W,6-3 6-3,2.0,12.0,6.0
113,579.0,W,7-5 6-7 6-3,3.0,19.0,15.0
113,691.0,W,6-2 7-6,2.0,13.0,8.0
113,592.0,W,6-1 6-3,2.0,12.0,4.0
113,261.0,W,6-4 6-0,2.0,12.0,4.0
113,662.0,W,1-6 7-6 6-4,3.0,14.0,16.0
113,39.0,L,3-6 6-7,2.0,9.0,13.0
113,491.0,W,4-6 6-1 6-4,3.0,16.0,11.0
113,722.0,W,6-4 6-2,2.0,12.0,6.0
113,579.0,W,6-4 6-2,2.0,12.0,6.0
113,452.0,W,6-1 7-6,2.0,13.0,7.0
113,494.0,W,3-6 7-5 6-3,3.0,16.0,14.0
113,31.0,L,3-6 6-4 2-6,3.0,11.0,16.0
114,1987.0,W,6-1 6-1,2.0,12.0,2.0
114,819.0,W,6-2 6-3,2.0,12.0,5.0
114,781.0,W,6-0 6-1,2.0,12.0,1.0
114,1115.0,W,5-7 6-3 6-3,3.0,17.0,13.0
114,381.0,W,6-3 6-2,2.0,12.0,5.0
114,1115.0,W,6-3 6-1,2.0,12.0,4.0
114,1121.0,W,6-1 6-1,2.0,12.0,2.0
114,556.0,U,7-5,1.0,7.0,5.0
114,1217.0,W,6-4 6-1,2.0,12.0,5.0
114,695.0,L,4-6 6-3 4-6,3.0,14.0,15.0
114,289.0,L,3-6 0-6,2.0,3.0,12.0
114,391.0,L,3-6 6-7,2.0,9.0,13.0
114,257.0,W,6-1 6-0,2.0,12.0,1.0
114,465.0,W,6-2 3-6 6-2,3.0,15.0,10.0
114,286.0,W,6-2 6-4,2.0,12.0,6.0
114,134.0,W,6-1 7-5,2.0,13.0,6.0
114,125.0,L,6-2 4-6 4-6,3.0,14.0,14.0
115,2239.0,W,6-1 6-0,2.0,12.0,1.0
115,507.0,L,4-6 1-6,2.0,5.0,12.0
115,158.0,L,5-7 6-2 3-6,3.0,14.0,15.0
115,58.0,L,6-3 6-7 4-6,3.0,16.0,16.0
115,519.0,W,5-7 6-1 6-3,3.0,17.0,11.0
115,32.0,L,5-7 7-6 5-7,3.0,17.0,20.0
115,193.0,L,4-6 6-7,2.0,10.0,13.0
115,264.0,L,3-6 1-6,2.0,4.0,12.0
115,100.0,W,6-2 6-4,2.0,12.0,6.0
115,66.0,L,4-6 3-6,2.0,7.0,12.0
116,282.0,W,6-4 6-1,2.0,12.0,5.0
116,338.0,W,6-4 6-0,2.0,12.0,4.0
116,66.0,L,1-6 2-6,2.0,3.0,12.0
116,358.0,W,6-4 7-5,2.0,13.0,9.0
116,184.0,W,6-1 5-7 6-2,3.0,17.0,10.0
116,208.0,L,3-6 2-6,2.0,5.0,12.0
116,173.0,L,2-6 3-6,2.0,5.0,12.0
116,18.0,L,0-6 5-7,2.0,5.0,13.0
116,82.0,W,6-2 6-2,2.0,12.0,4.0
116,29.0,L,5-7 3-6,2.0,8.0,13.0
116,85.0,L,6-7,2.0,6.0,7.0
116,15.0,L,1-6 3-6,2.0,4.0,12.0
116,737.0,W,7-5 3-6 6-2,3.0,16.0,13.0
116,89.0,W,6-3 2-6 6-2,3.0,14.0,11.0
116,73.0,W,7-6 6-1,2.0,13.0,7.0
116,16.0,W,6-3 6-4,2.0,12.0,7.0
116,33.0,L,3-6 2-6,2.0,5.0,12.0
117,1379.0,W,6-3 6-1,2.0,12.0,4.0
117,47.0,L,6-7 3-6,2.0,9.0,13.0
117,39.0,L,6-7 2-6,2.0,8.0,13.0
117,20.0,L,2-6 6-1 4-6,3.0,12.0,13.0
